Released;Movie;Weekend;US Gross;Worldwide Gross;Budget;Type
04/20/1977;Annie Hall;NULL;38251425;NULL;4000000;Original
10/28/2011;Anonymous;1021768;4463292;15685544;27500000;Original
07/22/2011;Another Earth;77740;1321194;1781194;175000;Original
12/29/2010;Another Year;111869;3205706;18505706;8000000;Original
01/12/2001;Antitrust;5486209;10965209;17865209;30000000;Original
12/19/2002;Antwone Fisher;210013;21078145;23367586;12500000;Real Events
10/02/1998;Antz;17195160;90757863;152457863;60000000;Original
12/22/1999;Any Given Sunday;13584625;75530832;100230832;60000000;Original
09/19/2003;Anything Else;1673125;3203044;13203044;18000000;Original
11/12/1999;Anywhere But Here;5607137;18653615;NULL;23000000;Adapted
08/15/1979;Apocalypse Now;118558;78800000;NULL;31500000;Adapted
12/08/2006;Apocalypto;15005604;50866635;120666635;40000000;Original
06/30/1995;Apollo 13;25353380;172070496;334100000;65000000;Adapted
09/02/2011;Apollo 18;8704271;17686929;25586929;5000000;Original
09/19/2008;Appaloosa;248847;20211394;27735474;20000000;Adapted
03/27/1986;April Fool's Day;3373779;12947763;NULL;5000000;Original
04/13/2007;Aqua Teen Hunger Force;3005175;5520368;NULL;750000;TV
03/03/2006;Aquamarine;7482669;18597342;22978953;12000000;Adapted
07/18/1990;Arachnophobia;8045760;53208180;NULL;31000000;Original
11/15/2002;Ararat;211130;1693000;NULL;15500000;Original
01/21/2005;Are We There Yet?;18575214;82674398;97918663;20000000;Original
07/09/1999;Arlington Road;7517145;24419219;NULL;21500000;Original
07/01/1998;Armageddon;36089972;201578182;554600000;140000000;Original
12/04/2009;Armored;6511128;15988876;23661038;20000000;Original
12/25/2007;Arn: The Knight Templar;NULL;NULL;14900000;16500000;Adapted
10/19/2007;Arnolds Park;7798;23616;NULL;600000;Original
10/17/1956;Around the World in 80 Days;NULL;42000000;NULL;6000000;Adapted
06/16/2004;Around the World in 80 Days;7576132;24004159;72004159;110000000;Remake
12/15/2006;Arthur and the Invisibles
;4294936;15132763;110102340;80000000;Adapted
11/23/2011;Arthur Christmas;12068931;46462469;147621641;85000000;Original
12/24/1997;As Good as it Gets;12606928;148478011;314111923;50000000;Original
10/06/1995;Assassins;9378637;30306268;83306268;50000000;Original
01/19/2005;Assault On Precinct 13;6502724;20040895;36040895;30000000;Remake
01/30/2008;Asterix at the Olympic Games;NULL;999811;132999811;113500000;Comics
10/23/2009;Astro Boy;6702923;19551067;44093014;65000000;Comics
01/15/1999;At First Sight;8444321;22365133;NULL;40000000;Original
03/31/2006;ATL;11554404;21170563;NULL;17000000;Original
06/08/2001;Atlantis: The Lost Empire;329011;84052762;186049020;90000000;Adapted
12/07/2007;Atonement;796836;50980159;130200290;30000000;Adapted
07/29/2011;Attack the Block;139506;1024175;5406422;13000000;Original
07/11/2008;August;8092;12636;NULL;3400000;Original
11/21/2007;August Rush;9421369;31664162;65627510;25000000;Real Events
07/25/2002;Austin Powers in Goldmember;73071188;213117789;292738626;63000000;Original
05/02/1997;Austin Powers: International Man of Mystery;9548111;53883989;67683989;18000000;Original
06/10/1999;Austin Powers: The Spy Who Shagged Me;54917604;206040085;310332636;35000000;Original
11/26/2008;Australia;14800723;49554002;207485132;78000000;Original
10/18/2002;Auto Focus;123761;2062066;2703821;7000000;Adapted
08/11/2000;Autumn in New York;10987006;37752931;90717684;40000000;Original
12/18/2009;Avatar;77025481;760507625;2783918982;237000000;Original
08/13/2004;AVP: Alien vs. Predator;38291056;80281096;172543519;70000000;SpinNULLOff
11/30/2007;Awake;5856872;14373825;30757745;8600000;Original
06/05/2009;Away We Go;130411;9451946;10108016;21000000;Original
